Date,Open,High,Low,Close,Adj Close,Volume
2023-08-04,53.253334,53.416668,52.653332,52.779999,52.220566,14262000
2023-08-07,53.166668,53.736668,53.036667,53.496666,52.929642,14268900
2023-08-08,53.663334,53.873333,53.169998,53.549999,52.982407,11017500
2023-08-09,53.636665,54.033333,53.570000,53.636665,53.068157,13209600
2023-08-10,53.596668,53.916668,53.343334,53.419998,53.041679,15169500
2023-08-11,53.516666,53.943333,53.366669,53.733334,53.352795,14195100
2023-08-14,54.000000,54.259998,53.060001,53.333332,52.955624,20813700
2023-08-15,53.180000,53.596668,52.973331,53.060001,52.684231,14559300
2023-08-16,53.293331,53.656666,52.790001,53.086666,52.710705,26980800
2023-08-17,53.633331,53.713333,51.673332,51.896667,51.529133,53614200
2023-08-18,51.770000,53.223331,51.770000,52.643333,52.270512,27954900
2023-08-21,52.543331,52.946667,52.346668,52.503334,52.131508,15679200
2023-08-22,52.323334,52.436668,52.080002,52.336666,51.966019,16670700
2023-08-23,52.203335,52.799999,52.169998,52.700001,52.326782,14210400
2023-08-24,52.709999,53.076668,52.273335,52.296665,51.926300,14033100
2023-08-25,52.393333,52.680000,52.180000,52.606667,52.234108,12267000
2023-08-28,52.619999,52.943333,52.619999,52.906666,52.531982,11871000
2023-08-29,53.000000,53.410000,52.953335,53.349998,52.972172,12702300
2023-08-30,53.466667,53.763332,53.306667,53.733334,53.352795,10967700
2023-08-31,53.706669,54.330002,53.653332,54.203335,53.819466,19582800
2023-09-01,54.290001,54.320000,53.383331,53.856667,53.475254,12553500
2023-09-05,53.950001,54.266666,53.393333,53.423332,53.044987,15209400
2023-09-06,53.466667,54.056667,53.303333,53.823334,53.442158,14594700
2023-09-07,54.000000,54.493332,53.830002,54.490002,54.104103,19120800
2023-09-08,54.493332,54.619999,54.356667,54.590000,54.203396,12667200
2023-09-11,54.666668,54.826668,54.553333,54.779999,54.392048,11912100
2023-09-12,54.833332,54.976665,54.680000,54.840000,54.451622,11757300
2023-09-13,54.976665,55.283333,54.790001,54.853333,54.464863,14364300
2023-09-14,55.000000,55.246666,54.803333,55.083332,54.693233,14923800
2023-09-15,55.070000,55.220001,54.590000,54.880001,54.491341,63925200
2023-09-18,54.893333,55.066666,54.416668,54.473331,54.087551,12997800
2023-09-19,54.459999,54.593334,54.116669,54.459999,54.074314,14019600
2023-09-20,54.533333,54.903332,54.320000,54.636665,54.249725,10120800
2023-09-21,54.753334,54.833332,53.930000,53.973331,53.591095,18782400
2023-09-22,54.076668,54.410000,53.973331,54.116669,53.733414,13215000
2023-09-25,54.123333,54.369999,53.956669,54.356667,53.971710,10459500
2023-09-26,54.313332,54.513332,54.116669,54.166668,53.783062,14435700
2023-09-27,54.000000,54.076668,53.430000,53.906666,53.524899,15711000
2023-09-28,54.000000,54.276669,53.863335,54.180000,53.796299,11617200
2023-09-29,54.343334,54.376667,53.063332,53.310001,52.932461,18842400
2023-10-02,53.163334,53.423332,52.770000,53.366669,52.988724,12992700
2023-10-03,53.230000,53.583332,52.893333,53.029999,52.654442,11253300
2023-10-04,53.216667,53.683334,53.003334,53.666668,53.286598,15755700
2023-10-05,53.483334,53.653332,53.000000,53.026669,52.651134,14269500
2023-10-06,52.883331,52.996666,50.549999,52.136665,51.767433,42616200
2023-10-09,51.693333,51.950001,51.086666,51.946667,51.578781,21022500
2023-10-10,52.076668,52.693333,51.886665,52.533333,52.161293,16014300
2023-10-11,52.753334,53.163334,52.346668,52.743332,52.369804,12026100
2023-10-12,52.843334,53.103333,52.590000,52.983334,52.608105,13514100
2023-10-13,53.086666,53.486668,52.966667,53.276669,52.899361,13809000
2023-10-16,53.513332,54.026669,53.439999,53.736668,53.356106,14348100
2023-10-17,53.580002,53.903332,53.463333,53.806667,53.425610,10893000
2023-10-18,53.959999,54.119999,53.573334,53.846668,53.465324,10559100
2023-10-19,53.810001,53.939999,53.406666,53.590000,53.210476,11745900
2023-10-20,53.610001,53.700001,52.903332,52.919998,52.545219,15056700
2023-10-23,52.910000,53.783333,52.673332,53.669998,53.289906,17097000
2023-10-24,53.799999,54.493332,53.796665,54.416668,54.031288,17535000
2023-10-25,54.386665,54.776669,54.156666,54.253334,53.869110,16621800
2023-10-26,54.236668,54.616669,53.869999,53.923332,53.541447,16220100
2023-10-27,53.826668,53.990002,53.516666,53.723331,53.342861,13829700
2023-10-30,53.820000,54.419998,53.596668,54.340000,53.955162,12653700
2023-10-31,54.333332,54.540001,53.983334,54.470001,54.084248,14168400
2023-11-01,54.736668,55.126667,54.326668,54.956669,54.567467,14899500
2023-11-02,54.793331,55.396667,54.543331,55.173332,54.782597,15492300
2023-11-03,55.293331,55.433334,54.833332,54.886665,54.497959,17240100
2023-11-06,54.833332,55.209999,54.689999,54.959999,54.570774,14529000
2023-11-07,55.256668,55.536667,55.110001,55.216667,54.825623,15023400
2023-11-08,55.279999,55.426666,54.526669,54.766666,54.378811,15591900
2023-11-09,54.790001,54.840000,54.416668,54.639999,54.253036,15080100
2023-11-10,54.849998,55.480000,54.633331,55.396667,55.004349,14319900
2023-11-13,55.459999,55.956669,55.349998,55.893333,55.497498,15408900
2023-11-14,56.056667,56.383331,55.750000,55.883331,55.487564,19792500
2023-11-15,56.126667,56.646667,55.836666,56.593334,56.192539,35769900
2023-11-16,52.916668,53.150002,51.833332,52.013332,51.644978,97658700
2023-11-17,51.983334,52.513332,51.669998,51.783333,51.416603,42487800
2023-11-20,51.846668,52.003334,51.669998,51.766666,51.400055,26663100
2023-11-21,51.820000,52.283333,51.376667,51.953335,51.585403,29382300
2023-11-22,51.906666,52.016666,51.459999,51.556667,51.191544,26416500
2023-11-24,51.716667,52.043331,51.566666,52.020000,51.651596,13975200
2023-11-27,51.983334,52.453335,51.983334,52.256668,51.886585,23393700
2023-11-28,52.220001,52.973331,52.220001,52.880001,52.505505,23535000
2023-11-29,52.923332,52.923332,51.869999,52.026669,51.658218,29896500
2023-11-30,52.006668,52.116669,51.503334,51.896667,51.529133,29925900
2023-12-01,51.793331,51.869999,50.876667,51.446667,51.082321,39273600
2023-12-04,51.106667,51.643333,51.103333,51.433334,51.069084,24883200
2023-12-05,51.483334,51.950001,51.246666,51.910000,51.542370,21883800
2023-12-06,51.849998,51.943333,51.216667,51.346668,50.983032,26447400
2023-12-07,51.450001,51.513332,50.743332,50.820000,50.647503,25362600
2023-12-08,50.666668,50.736668,50.080002,50.286667,50.115982,34069500
2023-12-11,50.380001,50.483334,49.846668,50.413334,50.242218,31883400
2023-12-12,50.406666,50.566666,50.076668,50.453335,50.282085,21381900
2023-12-13,50.516666,51.349998,50.213333,51.349998,51.175705,35348700
2023-12-14,51.173332,51.313332,50.643333,50.723331,50.551163,30891300
2023-12-15,50.593334,51.153332,50.513332,50.913334,50.740520,70003500
2023-12-18,51.116669,51.689999,51.043331,51.656666,51.481331,26316000
2023-12-19,51.613335,51.896667,51.363335,51.843334,51.667366,24417000
2023-12-20,51.806667,52.046665,51.206669,51.236668,51.062759,21967800
2023-12-21,51.333332,51.686668,51.303333,51.599998,51.424854,20087700
2023-12-22,51.816666,52.383331,51.720001,52.216667,52.039433,19405500
2023-12-26,52.216667,52.330002,52.036667,52.136665,51.959702,11679900
2023-12-27,52.103333,52.650002,52.053333,52.626667,52.448040,19896000
2023-12-28,52.590000,52.776669,52.500000,52.523335,52.345058,16776000
2023-12-29,52.509998,52.693333,52.386665,52.549999,52.371632,21948300
2024-01-02,52.416668,53.180000,52.396667,53.096668,52.916447,23539800
2024-01-03,53.256668,53.433334,52.976665,53.099998,52.919765,18756000
2024-01-04,53.070000,53.180000,52.496666,52.586666,52.408173,19282500
2024-01-05,52.639999,52.700001,51.866669,52.236668,52.059364,21709500
2024-01-08,52.233334,52.763332,52.226665,52.750000,52.570953,20680800
2024-01-09,52.643333,53.113335,52.576668,53.103333,52.923088,23322300
2024-01-10,53.186668,53.833332,53.186668,53.763332,53.580845,20121900
2024-01-11,53.783333,53.963333,53.389999,53.703335,53.521053,14355300
